cohort_id,drug_id,metric,mean,sd,median,mad,p25,p75,tenant_id,user_id,p10,p90,min,max,p5,p95
1,115,norm_logAUC,0.7822621,0.20198224,0.8111827,0.2503543,0.6490171,0.98880666,NA,NA,0.5069513,1,0.05039556,1,0.4346862,1
1,1,abs_logEC50,1.4142435,1.1692069,1.160989,0.56559086,0.8094691,1.5724922,NA,NA,0.5707923,2.0464828,-0.87688965,6,0.45228526,4.779645
1,2,abs_logEC50,2.2718818,1.2662034,2.1832545,0.96168786,1.5016185,2.7939014,NA,NA,0.8430238,3.4703233,-0.90876037,6,0.5081816,5.074562
1,3,abs_logEC50,0.8332566,0.7054339,0.72073525,0.30554274,0.4906678,0.9130652,NA,NA,0.3822489,1.1353658,-0.20283246,3.79588,0.2571138,1.6718736
1,6,abs_logEC50,3.9545183,1.5074499,3.6711402,1.4202828,2.9546983,6,NA,NA,2.043046,6,0.6152516,6,1.7104602,6
1,7,abs_logEC50,4.8032155,1.4231249,5.6133165,0.5732967,3.9230683,6,NA,NA,3.1139772,6,-1.1723108,6,2.1750174,6
1,8,abs_logEC50,3.7448225,2.1778586,3.920267,3.083412,1.6968081,6,NA,NA,1.0193639,6,-3,6,0.78207535,6
1,10,abs_logEC50,2.16948,0.54275346,2.1567414,0.4498329,1.8830756,2.4947991,NA,NA,1.5743926,2.6538482,0.694312,6,1.4477619,2.732593
1,11,abs_logEC50,4.3387327,1.3415939,3.9976075,1.5597814,3.198649,6,NA,NA,2.7830548,6,0.9944676,6,2.5804539,6
1,12,abs_logEC50,4.5433164,1.8678441,6,0,3.5230284,6,NA,NA,1.27028,6,-0.89920723,6,0.61961937,6
1,13,abs_logEC50,2.276364,1.6240643,1.8026578,0.69743776,1.3854249,2.3991425,NA,NA,0.79363865,6,-1.38169,6,0.5285164,6
1,14,abs_logEC50,2.110889,1.7973387,1.5430665,0.78755885,1.0181231,2.0736873,NA,NA,0.59076625,6,-0.33484107,6,0.32293785,6
1,20,abs_logEC50,2.7340944,1.9743087,2.2018483,1.5200408,1.4441805,4.1441894,NA,NA,0.5149004,6,-0.8215196,6,-0.21929097,6
1,31,abs_logEC50,3.6885695,1.3288542,3.3441224,0.5469439,3.0244148,3.8626912,NA,NA,2.5909054,6,-1,6,1.9909627,6
1,39,abs_logEC50,4.9742246,1.3157151,6,0,3.73514,6,NA,NA,3.022966,6,0.3428857,6,2.7616584,6
1,50,abs_logEC50,4.4101434,1.4352274,4.069039,2.1485903,3.225403,6,NA,NA,2.6460142,6,1.2280192,6,2.3833885,6
1,53,abs_logEC50,3.7074542,1.2254,3.2983084,0.6606352,2.961345,4.092104,NA,NA,2.6946235,6,-0.27588326,6,2.504909,6
1,73,abs_logEC50,2.2665758,1.1968504,2.0551634,0.61815983,1.6832516,2.53444,NA,NA,1.2266898,3.3064814,-1.1556146,6,0.8280547,6
1,115,abs_logEC50,4.1390543,1.9794354,4.3300285,2.4758997,2.5823827,6,NA,NA,1.4915873,6,-1.9198673,6,0.62414175,6
1,1,logAUC,2.370225,0.742728,2.2584949,0.5886552,1.869055,2.6608405,NA,NA,1.6164436,3.1643574,0.86737204,5,1.4985566,3.7201443
1,2,logAUC,3.1611807,0.8476287,3.1692183,0.7992046,2.6297216,3.6950657,NA,NA,2.047241,4.2946897,0.69881845,5,1.7227923,4.5961127
1,3,logAUC,2.4547508,0.330791,2.4497874,0.2819432,2.2180772,2.616981,NA,NA,2.0901527,2.817255,1.4982609,3.49485,2.0185394,3.0717683
1,6,logAUC,4.1175337,0.76113015,4.298573,0.7603802,3.6239302,4.7442384,NA,NA,3.038681,5,1.7269543,5,2.6511362,5
1,7,logAUC,4.506209,0.74773604,4.861132,0.20588578,4.2860155,5,NA,NA,3.5480711,5,0.34503087,5,2.8753562,5
1,8,logAUC,3.6142552,0.9321783,3.5522375,1.1192564,2.9306765,4.447169,NA,NA,2.4199114,4.9963183,1.312254,5,2.0998738,5
1,10,logAUC,3.1512852,0.45328856,3.1553168,0.44294205,2.8837528,3.4783807,NA,NA,2.574289,3.657756,1.7051023,5,2.4568467,3.7420747
1,11,logAUC,4.426624,0.5313933,4.5025887000000004,0.6046111,4.087276,4.9044967,NA,NA,3.7297897,5,1.9964626,5,3.5177183,5
1,12,logAUC,4.128887,0.9926179,4.522732,0.707598,3.575431,4.990505,NA,NA,2.536183,5,0.75007355,5,2.2132742,5
1,13,logAUC,3.0091004,0.9482655,2.8338454,0.6361566,2.4674485,3.4083316,NA,NA,1.9320617,4.85091,0.23943678,5,1.6475964,5
1,14,logAUC,2.8004737,1.0368463,2.600949,0.75284296,2.1258962,3.155819,NA,NA,1.6252145,4.9798417,0.700219,5,1.3747597,5
1,20,logAUC,3.2201092,1.0410393,3.1140053,1.1057364,2.5090683,4.0698633,NA,NA,1.8538917,4.706228,0.49965656,5,1.5291595,4.9439497
1,31,logAUC,4.1872025,0.6918661,4.2787757,0.4771015,3.97194,4.6179323,NA,NA,3.402654,5,0.29445663,5,2.7960083,5
1,39,logAUC,4.628063,0.49192962,4.854578,0.21560283,4.4135275,5,NA,NA,3.9747267,5,2.334477,5,3.6861796,5
1,50,logAUC,4.4175096,0.5749037,4.4852104,0.72348803,4.061823,4.9832697,NA,NA,3.6356018,5,2.2281463,5,3.3576133,5
1,53,logAUC,4.2380815,0.53487575,4.2547016,0.4961803,3.94402,4.662893,NA,NA,3.6502194,4.916796,1.9139299,5,3.4650548,5
1,73,logAUC,3.1707375,0.6938765,3.1692781,0.6012894,2.7478306,3.5361834,NA,NA,2.3406682,4.064561,1.2141458,5,2.1538868,4.3852572
1,115,logAUC,3.9113104,1.0099113,4.0559134,1.2517715,3.2450855,4.9440336,NA,NA,2.5347564,5,0.2519778,5,2.173431,5
